date,species,trap,latitude,longitude,wnvpresent,dayofmonth,month,year,species_encode,nummosquitos,date_station,station,tavg,dewpoint,preciptotal,sealevel,avgspeed,humidity
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,0,29,5,2007,1,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,29,5,2007,3,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,29,5,2007,3,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,29,5,2007,3,2,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,29,5,2007,3,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,29,5,2007,3,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,0,29,5,2007,2,2,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,0,29,5,2007,2,2,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,0,29,5,2007,2,3,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,0,29,5,2007,2,3,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,0,29,5,2007,2,5,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,0,29,5,2007,2,2,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T153,41.907645,-87.760886,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T159,41.732984,-87.649642,0,29,5,2007,2,1,2007-05-29_2,2,67.7,49.4,0.056,30.102000000000004,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,29,5,2007,3,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,29,5,2007,3,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,29,5,2007,3,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX PIPIENS/RESTUANS,T148,42.01743,-87.687769,0,29,5,2007,3,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,0,29,5,2007,2,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,0,29,5,2007,2,1,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,0,29,5,2007,2,4,2007-05-29_1,1,66.35,49.0,0.114,30.111,9.55,0.5519026209419138
2007-06-05,CULEX PIPIENS,T002,41.95469,-87.800991,0,5,6,2007,1,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,0,5,6,2007,3,3,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T141,41.961743,-87.76007,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T142,41.953067,-87.776792,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T143,41.999129,-87.795585,0,5,6,2007,3,2,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T146,41.958271,-87.702575,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T149,41.994469,-87.667736,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
2007-06-05,CULEX PIPIENS/RESTUANS,T151,41.916265,-87.800515,0,5,6,2007,3,1,2007-06-05_1,1,68.9,56.3,0.11,29.891,7.959999999999999,0.6495084592477435
