date,species,trap,latitude,longitude,wnvpresent,dayofmonth,month,year,species_encode,nummosquitos,date_station,station,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,humidity
2007-05-29,CULEX PIPIENS,T096,41.731922,-87.677512,0,29,5,2007,1,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T048,41.867108,-87.654224,0,29,5,2007,3,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,0,29,5,2007,3,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,0,29,5,2007,3,2,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T086,41.688324,-87.676709,0,29,5,2007,3,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX PIPIENS/RESTUANS,T129,41.891126,-87.61156,0,29,5,2007,3,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,0,29,5,2007,2,2,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,0,29,5,2007,2,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T048,41.867108,-87.654224,0,29,5,2007,2,2,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,0,29,5,2007,2,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T054,41.921965,-87.632085,0,29,5,2007,2,3,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T086,41.688324,-87.676709,0,29,5,2007,2,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T091,41.862292,-87.64886,0,29,5,2007,2,1,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T094,41.720848,-87.666014,0,29,5,2007,2,3,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T096,41.731922,-87.677512,0,29,5,2007,2,5,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
2007-05-29,CULEX RESTUANS,T129,41.891126,-87.61156,0,29,5,2007,2,2,2007-05-29_2,2,78.7,56.7,67.7,49.4,57.4,1.8,4.8,0.05600000000000001,29.451,30.102000000000004,7.540000000000001,13.5,9.23,0.5366798654354417
